p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Identity
2.62E-05,0.468273151,0.112,0.216,0.362571947,CG32982,2,2
2.85E-05,0.291578803,0.043,0.109,0.393488499,eEF2,2,2
3.03E-05,0.449821921,0.249,0.428,0.418874846,CG17716,2,2
3.38E-05,0.297726984,0.038,0.102,0.466923904,CG1815,2,2
3.55E-05,0.385284276,0.71,0.853,0.49084329,cpx,2,2
3.74E-05,0.337195707,0.07,0.149,0.516027522,drl,2,2
5.05E-05,0.354919945,0.043,0.106,0.697861587,smg,2,2
5.27E-05,0.306780474,0.07,0.147,0.727532826,sano,2,2
5.59E-05,0.430986525,0.067,0.144,0.772544244,nuf,2,2
5.62E-05,0.264966085,0.04,0.102,0.776065591,Arl4,2,2
6.18E-05,0.282129205,0.04,0.102,0.853738279,CG7028,2,2
7.95E-05,0.475883273,0.065,0.139,1,Ptp4E,2,2
9.14E-05,-0.37600197,0.047,0.108,1,Vmat,2,2
9.74E-05,0.264343809,0.04,0.1,1,Sec24AB,2,2
1.00E-04,0.373968959,0.052,0.117,1,lncRNA:CR44320,2,2
1.05E-04,0.25541419,0.056,0.123,1,CG34351,2,2
1.48E-04,0.389154592,0.043,0.101,1,Bre1,2,2
1.54E-04,0.381385778,0.067,0.138,1,CG6959,2,2
1.66E-04,0.327711192,0.076,0.151,1,dpr17,2,2
1.67E-04,0.329251629,0.256,0.42,1,side-VIII,2,2
1.89E-04,0.346624362,0.045,0.103,1,PTP-ER,2,2
2.24E-04,0.351379443,0.049,0.109,1,CG43850,2,2
2.28E-04,0.362557236,0.315,0.535,1,nwk,2,2
2.43E-04,0.597305013,0.103,0.19,1,CG31637,2,2
2.64E-04,0.259897488,0.371,0.619,1,Dys,2,2
2.96E-04,0.456934293,0.299,0.515,1,lncRNA:CR45054,2,2
3.08E-04,0.520955318,0.157,0.269,1,dpr13,2,2
3.46E-04,0.616613686,0.101,0.184,1,ATP8B,2,2
4.76E-04,0.563580016,0.088,0.162,1,Pxn,2,2
6.44E-04,0.395726124,0.103,0.182,1,rn,2,2
7.34E-04,0.424303891,0.054,0.11,1,CG13506,2,2
0.001037564,0.360833846,0.319,0.525,1,pHCl-1,2,2
0.001064077,0.553414289,0.171,0.281,1,CG42524,2,2
0.001112404,0.577299459,0.18,0.295,1,Cbp53E,2,2
0.001360273,0.423173618,0.056,0.11,1,CG3726,2,2
0.002529907,0.402775136,0.126,0.204,1,haf,2,2
0.002662339,0.443159423,0.285,0.439,1,lncRNA:CR44997,2,2
0.002681195,0.394770697,0.09,0.153,1,beat-Vc,2,2
0.003821223,0.672455811,0.085,0.145,1,CG1358,2,2
0.004597534,0.777786067,0.515,0.595,1,mbl,2,2
0.004627372,0.612737359,0.065,0.115,1,lncRNA:CR45919,2,2
0.004953031,0.41393624,0.061,0.108,1,Nna1,2,2
0.004962997,0.289883698,0.667,0.832,1,Nckx30C,2,2
0.0052185,0.2649235,0.407,0.653,1,CG17816,2,2
0.006205492,0.665335034,0.079,0.132,1,CG13579,2,2
0.006462549,0.961551887,0.267,0.25,1,zfh2,2,2
0.006711887,0.651565497,0.494,0.627,1,pre-rRNA:CR45845,2,2
0.008991668,0.772260755,0.108,0.172,1,CG18265,2,2
3.31E-298,2.053427781,0.932,0.203,4.58E-294,Gad1,3,3
2.45E-211,1.773508545,0.932,0.277,3.39E-207,CG14989,3,3
4.42E-204,0.950711876,0.18,0.01,6.11E-200,HGTX,3,3
3.24E-148,0.931316691,0.208,0.019,4.47E-144,Dbx,3,3
3.97E-132,0.649625467,0.18,0.016,5.49E-128,lncRNA:CR42721,3,3
5.17E-132,1.314068647,0.238,0.028,7.14E-128,Scr,3,3
6.73E-114,0.861266635,0.911,0.308,9.30E-110,Imp,3,3
4.74E-102,1.352478022,0.203,0.026,6.55E-98,pb,3,3
6.79E-96,0.640743318,0.451,0.111,9.38E-92,CG44245,3,3
3.66E-87,0.863553362,0.28,0.053,5.06E-83,zfh1,3,3
5.75E-86,0.84294501,0.112,0.01,7.94E-82,inv,3,3
1.27E-85,1.47002015,0.654,0.242,1.75E-81,DIP-lambda,3,3
1.43E-84,0.687118936,0.114,0.01,1.98E-80,Dfd,3,3
3.46E-80,0.739171141,1,0.871,4.78E-76,Msp300,3,3
1.17E-78,0.812103709,0.301,0.064,1.62E-74,lov,3,3
3.52E-78,-2.226571348,0.839,0.881,4.87E-74,pros,3,3
2.45E-77,0.527196109,0.437,0.12,3.39E-73,P5CDh1,3,3
9.29E-77,0.910980838,0.269,0.054,1.28E-72,mirr,3,3
1.20E-75,0.701411198,0.605,0.21,1.65E-71,CG15312,3,3
1.35E-75,0.550124539,0.236,0.043,1.86E-71,apt,3,3
3.80E-73,0.461969793,0.185,0.029,5.25E-69,TwdlG,3,3
3.87E-73,0.87854705,0.591,0.211,5.34E-69,lncRNA:CR45347,3,3
1.95E-72,0.918355101,0.208,0.036,2.70E-68,Proc,3,3
8.54E-72,0.986279447,0.393,0.108,1.18E-67,CG43689,3,3
9.05E-71,0.817314789,0.96,0.543,1.25E-66,Nhe2,3,3
1.02E-70,0.938535191,0.692,0.273,1.40E-66,beat-Ic,3,3
4.66E-70,0.457972975,0.318,0.075,6.44E-66,CG3961,3,3
4.16E-69,0.804117631,0.974,0.578,5.75E-65,mamo,3,3
6.36E-69,0.507777842,0.315,0.076,8.78E-65,Atf3,3,3
7.31E-69,0.526689686,0.526,0.172,1.01E-64,kdn,3,3
2.38E-68,0.530144836,0.521,0.171,3.29E-64,capt,3,3
7.79E-67,0.489432979,0.164,0.025,1.08E-62,CG4328,3,3
2.60E-66,0.922249497,0.575,0.213,3.59E-62,Pzl,3,3
2.63E-66,0.471882423,0.269,0.06,3.63E-62,CG31538,3,3
5.59E-64,0.770080638,0.35,0.094,7.72E-60,CG9650,3,3
5.93E-64,0.648422933,0.416,0.126,8.19E-60,Usp32,3,3
5.28E-63,0.760411177,0.673,0.271,7.29E-59,CG42524,3,3
4.21E-62,0.585443852,0.801,0.351,5.82E-58,CG13743,3,3
3.50E-61,0.273431354,0.105,0.012,4.84E-57,lncRNA:CR42651,3,3
3.14E-60,0.720360513,0.764,0.332,4.34E-56,beat-Ib,3,3
3.89E-60,0.484358315,0.299,0.076,5.38E-56,Eip63F-1,3,3
9.69E-60,0.578211626,0.507,0.177,1.34E-55,ATP8B,3,3
2.04E-58,0.497455865,1,0.954,2.82E-54,sif,3,3
4.48E-58,0.496539902,0.638,0.253,6.20E-54,sesB,3,3
7.28E-58,0.382219029,0.558,0.201,1.01E-53,Meltrin,3,3
1.67E-57,0.411834963,0.53,0.188,2.30E-53,Ald1,3,3
1.67E-57,0.490923565,0.607,0.234,2.31E-53,Nmdar1,3,3
6.09E-57,0.448868546,0.437,0.142,8.41E-53,CG32944,3,3
2.07E-55,0.53578179,0.82,0.387,2.86E-51,CG43066,3,3
1.00E-54,0.511715765,1,0.894,1.38E-50,mtd,3,3
4.35E-54,0.365853312,0.598,0.23,6.01E-50,lncRNA:CR46481,3,3
1.17E-53,0.521165611,0.311,0.087,1.61E-49,CG2201,3,3
1.46E-53,0.43678577,0.664,0.275,2.01E-49,slgA,3,3
1.51E-53,0.332375049,0.568,0.213,2.09E-49,Piezo,3,3
3.81E-53,0.426092621,0.493,0.177,5.27E-49,Btk29A,3,3
4.57E-53,0.39621124,0.414,0.135,6.32E-49,Hcs,3,3
5.46E-53,0.442061403,0.687,0.286,7.54E-49,RyR,3,3
7.24E-53,0.381943746,0.502,0.182,1.00E-48,CG31808,3,3
2.93E-52,0.376457329,0.383,0.122,4.04E-48,Pcyt1,3,3
3.66E-52,0.39000528,0.264,0.068,5.06E-48,Gyg,3,3
8.42E-52,0.484616881,0.558,0.217,1.16E-47,CG4238,3,3
1.86E-51,0.416172787,0.374,0.118,2.57E-47,VGAT,3,3
2.11E-51,0.416046812,0.748,0.322,2.91E-47,GlcAT-P,3,3
9.16E-50,0.35972672,0.124,0.019,1.27E-45,CG7841,3,3
9.46E-49,0.746633903,0.304,0.09,1.31E-44,DIP-alpha,3,3
2.51E-48,0.340369135,0.727,0.318,3.46E-44,Argk,3,3
2.52E-48,0.652898044,0.977,0.636,3.48E-44,nAChRalpha7,3,3
4.71E-48,0.348645085,0.603,0.246,6.50E-44,E2f1,3,3
1.18E-47,0.352965689,0.322,0.098,1.63E-43,Sms,3,3
2.50E-47,0.37275684,0.182,0.039,3.46E-43,CG9331,3,3
3.19E-47,0.310847856,0.371,0.121,4.41E-43,CG17691,3,3
8.14E-47,0.378457917,0.605,0.25,1.12E-42,fry,3,3
1.11E-46,0.477048843,0.252,0.068,1.53E-42,mew,3,3
1.33E-46,0.470315926,0.154,0.03,1.83E-42,lncRNA:CR45533,3,3
1.59E-46,0.461897034,0.157,0.03,2.19E-42,vg,3,3
1.71E-46,0.347957004,0.57,0.232,2.36E-42,CG31550,3,3
2.22E-46,0.344441285,0.421,0.149,3.06E-42,CG1812,3,3
2.45E-46,0.435328659,0.743,0.347,3.38E-42,CG43707,3,3
3.18E-46,0.279003964,0.502,0.191,4.39E-42,CG10804,3,3
5.60E-46,0.547456479,0.722,0.338,7.73E-42,luna,3,3
9.34E-46,0.411812085,0.727,0.333,1.29E-41,lncRNA:CR43459,3,3
1.37E-45,0.30053843,0.435,0.157,1.89E-41,Marf,3,3
1.45E-45,0.382278984,0.773,0.359,2.00E-41,Usp2,3,3
2.35E-45,0.403488719,0.696,0.314,3.25E-41,zip,3,3
2.92E-45,0.526279741,0.465,0.175,4.03E-41,rn,3,3
3.08E-45,0.346109377,0.673,0.299,4.25E-41,Mhcl,3,3
3.18E-45,0.440862693,0.727,0.333,4.39E-41,Nuak1,3,3
4.59E-45,0.358280689,0.371,0.126,6.34E-41,CG13937,3,3
9.27E-45,0.806446738,0.556,0.245,1.28E-40,zfh2,3,3
9.85E-45,0.273584979,0.53,0.209,1.36E-40,bbc,3,3
1.52E-44,0.681381911,0.935,0.583,2.10E-40,hth,3,3
1.53E-44,0.390490057,0.241,0.064,2.12E-40,CG46244,3,3
2.22E-44,0.461272828,0.895,0.464,3.06E-40,l(1)G0196,3,3
5.92E-44,0.36362354,0.54,0.218,8.18E-40,CG11768,3,3
9.76E-44,0.370063174,0.584,0.247,1.35E-39,CG32369,3,3
1.66E-43,0.338620973,0.593,0.25,2.29E-39,CG15270,3,3
4.95E-43,0.288837405,0.731,0.33,6.84E-39,cindr,3,3
5.61E-43,0.271607392,0.491,0.191,7.75E-39,tmod,3,3
6.86E-43,0.33999363,0.61,0.264,9.48E-39,babo,3,3
8.67E-43,0.639642789,0.806,0.417,1.20E-38,CG17716,3,3
9.60E-43,0.558797302,0.292,0.091,1.33E-38,esn,3,3
1.43E-42,0.264468332,0.35,0.117,1.98E-38,Iml1,3,3
1.62E-42,0.322939181,0.745,0.342,2.24E-38,CG2217,3,3
2.25E-42,0.476198955,0.603,0.262,3.10E-38,Cda5,3,3
7.54E-42,0.343962782,0.266,0.079,1.04E-37,Hsp60A,3,3
8.38E-42,0.260519091,0.521,0.209,1.16E-37,CG31522,3,3
1.26E-41,0.374395956,0.792,0.385,1.74E-37,ths,3,3
2.47E-41,0.548362434,0.435,0.169,3.41E-37,CG34393,3,3
3.57E-41,0.450286293,0.757,0.377,4.93E-37,SNF4Agamma,3,3
5.67E-41,-0.664305822,1,0.986,7.84E-37,blot,3,3
1.01E-40,0.350994962,0.252,0.073,1.39E-36,l(2)41Ab,3,3
2.93E-40,0.521907074,0.916,0.523,4.05E-36,nwk,3,3
1.28E-39,0.284221875,0.381,0.138,1.76E-35,htt,3,3
1.66E-39,0.263859335,0.453,0.177,2.30E-35,CG14441,3,3
2.74E-39,0.359823772,0.713,0.34,3.78E-35,Eip78C,3,3
3.11E-39,0.260537362,0.432,0.167,4.30E-35,Sam-S,3,3
3.28E-39,0.264292873,0.446,0.176,4.53E-35,CG33203,3,3
4.00E-39,0.320626893,0.535,0.226,5.53E-35,CG31690,3,3
6.90E-39,0.339501023,0.243,0.07,9.53E-35,CG13337,3,3
1.31E-38,0.334238712,0.575,0.251,1.81E-34,CG8910,3,3
1.77E-38,0.266526814,0.252,0.076,2.45E-34,CG18809,3,3
1.79E-38,0.429540104,0.46,0.192,2.47E-34,pre-rRNA:CR45856,3,3
4.16E-38,0.467756111,0.383,0.145,5.74E-34,dpr17,3,3
2.00E-37,0.288943084,0.381,0.142,2.77E-33,Men-b,3,3
2.83E-37,0.561410298,0.407,0.161,3.90E-33,dpr15,3,3
5.38E-37,0.311124987,0.596,0.269,7.43E-33,CG5065,3,3
6.71E-37,0.502622852,0.991,0.703,9.27E-33,qvr,3,3
7.28E-37,0.307671688,0.428,0.17,1.01E-32,CG17162,3,3
1.08E-36,0.263431071,0.769,0.374,1.49E-32,Teh2,3,3
1.24E-36,0.287541952,0.421,0.166,1.71E-32,CG18265,3,3
1.35E-36,0.276634434,0.722,0.341,1.86E-32,ab,3,3
1.95E-36,0.365135472,0.537,0.238,2.69E-32,osp,3,3
2.08E-36,0.454178482,1,0.864,2.87E-32,Lar,3,3
2.18E-36,0.257476917,0.636,0.294,3.02E-32,Jupiter,3,3
2.73E-36,0.262915498,0.327,0.116,3.77E-32,CG5522,3,3
3.38E-36,0.257437783,0.423,0.168,4.67E-32,CG16974,3,3
1.01E-35,0.392640232,0.262,0.083,1.40E-31,TrissinR,3,3
1.11E-35,0.254231494,0.215,0.061,1.53E-31,Fie,3,3
1.16E-35,0.250029791,0.283,0.093,1.60E-31,mAcon1,3,3
1.40E-35,0.391977224,0.231,0.07,1.93E-31,form3,3,3
1.52E-35,0.261655151,0.262,0.083,2.10E-31,kermit,3,3
1.63E-35,-1.096017552,0.951,0.846,2.25E-31,jim,3,3
1.68E-35,0.256377794,0.257,0.081,2.32E-31,bsk,3,3
1.83E-35,0.3280386,0.446,0.184,2.53E-31,CG31637,3,3
2.06E-35,0.369855543,0.213,0.06,2.84E-31,dlp,3,3
4.63E-35,0.339557737,0.484,0.205,6.39E-31,CG42674,3,3
8.76E-35,0.312976928,0.827,0.424,1.21E-30,CG41378,3,3
3.02E-34,0.43489202,0.341,0.129,4.18E-30,28SrRNA-Psi:CR40596,3,3
5.34E-34,0.439217042,0.993,0.847,7.37E-30,cpx,3,3
5.63E-34,0.411606034,0.537,0.243,7.77E-30,Trim9,3,3
5.94E-34,0.450395834,0.598,0.286,8.20E-30,Cbp53E,3,3
1.03E-33,0.258416301,0.297,0.104,1.42E-29,kat80,3,3
1.09E-33,0.252054817,0.187,0.051,1.51E-29,Idh3a,3,3
1.13E-33,0.265165415,0.35,0.132,1.56E-29,CG42337,3,3
1.22E-33,0.367383694,0.888,0.5,1.69E-29,Frq1,3,3
1.59E-33,0.283998022,0.801,0.412,2.20E-29,CG11000,3,3
1.74E-33,0.263988715,0.423,0.174,2.41E-29,CG32373,3,3
2.21E-33,0.255320878,0.313,0.112,3.05E-29,lncRNA:CR44320,3,3
5.09E-33,0.317450717,0.364,0.142,7.03E-29,Nplp1,3,3
9.06E-33,0.614470055,0.43,0.185,1.25E-28,CG8861,3,3
9.77E-33,0.398362631,0.907,0.524,1.35E-28,nAChRalpha3,3,3
1.43E-32,0.374472056,0.364,0.143,1.98E-28,beat-IIb,3,3
2.55E-32,0.829711257,0.871,0.588,3.52E-28,mbl,3,3
2.71E-32,0.320602612,0.846,0.457,3.75E-28,DopEcR,3,3
3.23E-32,1.134089453,0.343,0.144,4.46E-28,DIP-beta,3,3
3.40E-32,0.445882536,0.589,0.284,4.70E-28,CG43759,3,3
3.47E-32,0.515804742,0.853,0.51,4.80E-28,lovit,3,3
5.07E-32,0.422626591,0.43,0.185,7.00E-28,CG33543,3,3
5.08E-32,0.435853893,0.584,0.28,7.01E-28,DIP-gamma,3,3
5.69E-32,0.535398172,0.292,0.107,7.86E-28,CG14322,3,3
8.44E-32,0.331295376,0.759,0.393,1.17E-27,sns,3,3
9.20E-32,0.381724934,0.717,0.374,1.27E-27,Gycbeta100B,3,3
1.20E-31,0.324462337,0.348,0.135,1.65E-27,pxb,3,3
1.82E-31,0.349323552,0.136,0.032,2.52E-27,Naam,3,3
2.00E-31,0.307344053,0.376,0.151,2.77E-27,CG3655,3,3
3.04E-31,0.339680548,0.442,0.195,4.20E-27,28SrRNA-Psi:CR45859,3,3
3.04E-31,0.325241246,0.834,0.457,4.20E-27,klar,3,3
4.01E-31,0.337303656,0.306,0.114,5.54E-27,28SrRNA-Psi:CR45851,3,3
4.04E-31,0.261008375,0.537,0.247,5.58E-27,CG32085,3,3
7.93E-31,0.378584813,0.568,0.271,1.10E-26,CG34106,3,3
8.39E-31,0.284499649,0.836,0.457,1.16E-26,hppy,3,3
9.00E-31,0.254964701,0.811,0.437,1.24E-26,PAN3,3,3
1.21E-30,0.276161451,0.175,0.049,1.67E-26,tadr,3,3
1.76E-30,0.283161957,0.117,0.025,2.43E-26,CngA,3,3
2.09E-30,0.444157234,0.986,0.752,2.89E-26,nAChRalpha4,3,3
3.46E-30,0.313383396,0.187,0.054,4.77E-26,CG31183,3,3
5.02E-30,0.255758684,0.458,0.204,6.94E-26,sbm,3,3
8.07E-30,0.285290803,0.832,0.45,1.11E-25,MESK2,3,3
8.54E-30,0.252335896,0.157,0.042,1.18E-25,CG7627,3,3
9.52E-30,0.327995318,0.551,0.264,1.31E-25,robo3,3,3
1.02E-29,0.3944955,0.584,0.289,1.41E-25,beat-IIa,3,3
1.83E-29,0.262735422,0.647,0.321,2.53E-25,app,3,3
5.30E-29,0.336581646,0.907,0.53,7.33E-25,CG6329,3,3
1.24E-28,0.404190332,0.995,0.797,1.72E-24,NaCP60E,3,3
1.41E-28,0.284359841,0.304,0.117,1.94E-24,CG42663,3,3
2.57E-28,0.295223932,0.25,0.088,3.55E-24,FBti0059693,3,3
6.74E-28,0.25121737,0.1,0.021,9.31E-24,CG9766,3,3
1.66E-27,0.346341732,0.107,0.024,2.30E-23,Lmx1a,3,3
1.69E-27,0.35923871,0.888,0.523,2.33E-23,CG9674,3,3
1.71E-27,0.289722396,0.883,0.514,2.36E-23,CG32017,3,3
2.21E-27,0.42260339,0.972,0.756,3.05E-23,shakB,3,3
2.88E-27,0.417078463,0.944,0.618,3.98E-23,pre-rRNA:CR45845,3,3
3.15E-27,0.306762588,1,0.955,4.35E-23,para,3,3
3.84E-27,0.33100334,0.213,0.071,5.31E-23,vari,3,3
6.50E-27,0.266044634,0.631,0.323,8.98E-23,kek5,3,3
7.94E-27,0.308071071,0.886,0.528,1.10E-22,Eip63E,3,3
1.07E-26,0.406414383,0.687,0.377,1.48E-22,CG42594,3,3
1.34E-26,0.252205933,0.682,0.355,1.85E-22,nolo,3,3
1.65E-26,0.392381275,0.143,0.039,2.28E-22,CCAP-R,3,3
1.71E-26,0.399855612,0.925,0.589,2.36E-22,Prosap,3,3
1.82E-26,0.449550368,0.449,0.209,2.51E-22,CG32982,3,3
2.51E-26,0.272030595,0.776,0.42,3.47E-22,CG33144,3,3
4.75E-26,0.307963989,0.311,0.126,6.57E-22,dpr16,3,3
5.16E-26,0.767454404,0.311,0.129,7.13E-22,Hr38,3,3
5.86E-26,0.373292156,0.848,0.504,8.09E-22,fz2,3,3
1.15E-25,0.350197268,0.939,0.626,1.59E-21,CG42795,3,3
2.29E-25,0.342630315,0.93,0.6,3.17E-21,Mid1,3,3
3.42E-25,0.290185545,0.839,0.476,4.73E-21,kmr,3,3
5.17E-25,0.284320752,0.734,0.407,7.15E-21,kek2,3,3
8.13E-25,0.391779651,0.991,0.834,1.12E-20,Syt1,3,3
1.83E-24,0.254644722,0.11,0.027,2.53E-20,CG17544,3,3
2.28E-24,0.262832795,0.771,0.443,3.15E-20,fru,3,3
3.56E-24,0.314697237,0.998,0.826,4.92E-20,Nckx30C,3,3
4.82E-24,0.26972278,0.537,0.274,6.66E-20,side-V,3,3
6.32E-24,0.315036566,0.776,0.456,8.74E-20,CadN2,3,3
9.78E-24,0.260033155,0.495,0.244,1.35E-19,kek3,3,3
2.09E-23,0.36094345,0.813,0.493,2.89E-19,sick,3,3
2.62E-23,0.278460439,0.727,0.406,3.61E-19,CG44422,3,3
2.81E-23,0.424566995,0.678,0.389,3.88E-19,Octalpha2R,3,3
5.13E-23,0.308233989,0.353,0.16,7.09E-19,Cad87A,3,3
6.37E-23,0.35528842,0.97,0.724,8.80E-19,Hk,3,3
8.63E-23,0.289515722,0.876,0.532,1.19E-18,eag,3,3
1.13E-22,0.317244002,0.967,0.666,1.56E-18,Ih,3,3
2.36E-22,0.4065305,0.993,0.838,3.27E-18,Rbp6,3,3
2.82E-22,0.372508772,0.451,0.225,3.90E-18,ct,3,3
2.85E-22,0.320139069,0.283,0.119,3.94E-18,CG34351,3,3
4.34E-22,0.41968168,0.238,0.094,6.00E-18,Dh31-R,3,3
4.35E-22,0.256684484,0.22,0.082,6.01E-18,CG1648,3,3
7.19E-22,0.252924409,0.362,0.165,9.93E-18,beat-IV,3,3
9.08E-22,0.366876913,0.584,0.32,1.25E-17,CG42346,3,3
9.58E-22,0.36492925,0.526,0.281,1.32E-17,CG42339,3,3
1.92E-21,0.447486852,0.958,0.695,2.65E-17,28SrRNA:CR45844,3,3
2.61E-21,0.588715587,0.939,0.712,3.61E-17,Myo81F,3,3
3.35E-21,0.505541433,0.32,0.146,4.63E-17,ome,3,3
4.00E-21,0.380761713,0.942,0.675,5.52E-17,Ten-m,3,3
6.27E-21,0.499076591,0.175,0.061,8.66E-17,lncRNA:CR45223,3,3
1.93E-20,0.298106156,0.713,0.412,2.66E-16,side-VIII,3,3
2.78E-20,0.264337115,0.502,0.266,3.84E-16,mtt,3,3
1.74E-19,0.302304941,0.556,0.321,2.41E-15,beat-IIIc,3,3
3.34E-19,0.289763238,0.411,0.21,4.61E-15,DIP-delta,3,3
3.44E-19,0.293952066,0.626,0.362,4.76E-15,beat-VII,3,3
5.42E-19,0.395958065,0.435,0.227,7.48E-15,Fili,3,3
1.96E-18,0.527553979,0.114,0.034,2.70E-14,trh,3,3
2.17E-18,0.283956356,0.9,0.595,3.00E-14,CG32432,3,3
2.42E-18,0.310488523,0.97,0.741,3.34E-14,CG10077,3,3
2.49E-18,0.286898652,0.979,0.805,3.44E-14,CG42784,3,3
9.70E-18,0.301162821,0.386,0.199,1.34E-13,haf,3,3
1.05E-17,0.370400554,0.974,0.764,1.45E-13,GluClalpha,3,3
8.02E-17,0.283171305,0.986,0.754,1.11E-12,PMCA,3,3
8.76E-17,0.294524808,0.991,0.903,1.21E-12,CG17684,3,3
1.04E-16,0.25106707,0.166,0.063,1.44E-12,AGO3,3,3
2.38E-16,0.392073184,0.68,0.432,3.29E-12,lncRNA:CR44997,3,3
7.39E-16,0.253401367,0.956,0.68,1.02E-11,Parp,3,3
7.90E-16,-1.469402948,0.306,0.432,1.09E-11,dati,3,3
1.49E-15,-0.409476213,0.664,0.367,2.06E-11,Patronin,3,3
2.33E-15,0.415431579,0.292,0.142,3.22E-11,sano,3,3
2.88E-15,0.251958005,0.124,0.043,3.98E-11,RR48361-transposable-element,3,3
5.06E-14,0.380124731,0.666,0.433,6.99E-10,NetB,3,3
6.75E-14,0.316196426,0.114,0.04,9.32E-10,Fhos,3,3
1.36E-13,-0.368840447,0.423,0.228,1.87E-09,RanBPM,3,3
6.38E-13,-0.322798894,0.645,0.379,8.81E-09,Mmp2,3,3
7.16E-13,0.253011208,0.967,0.73,9.89E-09,nAChRbeta1,3,3
6.29E-12,-0.251589528,0.355,0.189,8.68E-08,CG46301,3,3
6.49E-12,-1.225246313,0.755,0.652,8.96E-08,lncRNA:CR31451,3,3
6.69E-12,-0.328725668,0.439,0.24,9.25E-08,CG5890,3,3
9.31E-12,-0.268944663,0.491,0.274,1.29E-07,Ndae1,3,3
1.14E-11,0.346386138,0.201,0.099,1.58E-07,robo2,3,3
1.30E-11,0.406079391,0.262,0.139,1.79E-07,CARPB,3,3
1.47E-11,-0.501086365,1,0.963,2.04E-07,IA-2,3,3
1.89E-11,-0.284177541,0.348,0.185,2.61E-07,dock,3,3
3.85E-11,-0.271120799,0.53,0.308,5.32E-07,CG30389,3,3
5.08E-11,0.391867227,0.909,0.724,7.02E-07,CG45263,3,3
6.52E-11,-0.280713095,0.477,0.272,9.01E-07,CG11122,3,3
8.74E-11,-0.274730052,0.367,0.201,1.21E-06,Pfrx,3,3
1.47E-10,-0.5677283,0.512,0.288,2.03E-06,Rgk1,3,3
1.59E-10,-0.282502798,0.418,0.236,2.19E-06,wge,3,3
2.19E-10,-0.349585261,0.993,0.863,3.02E-06,spen,3,3
2.65E-10,0.339139802,0.355,0.21,3.67E-06,CG14459,3,3
3.25E-10,-0.295013789,0.523,0.303,4.48E-06,eIF4G2,3,3
5.61E-10,-0.297460881,0.442,0.253,7.76E-06,egh,3,3
6.75E-10,-0.403424839,0.664,0.396,9.33E-06,CG3638,3,3
1.03E-09,-0.304524619,0.535,0.313,1.42E-05,rin,3,3
1.36E-09,-0.971819381,0.463,0.269,1.88E-05,br,3,3
1.63E-09,-0.251328858,0.393,0.228,2.25E-05,Lis-1,3,3
1.64E-09,-0.330653967,0.381,0.216,2.26E-05,CG16711,3,3
1.98E-09,-0.261354395,0.43,0.252,2.73E-05,Stat92E,3,3
2.14E-09,-0.266522929,0.386,0.223,2.95E-05,CG42245,3,3
3.54E-09,-0.258710274,0.346,0.199,4.89E-05,scyl,3,3
4.61E-09,-0.264331273,0.376,0.218,6.37E-05,dpr14,3,3
4.90E-09,-0.254144691,0.554,0.332,6.77E-05,Pka-R1,3,3
6.35E-09,-0.253979076,0.832,0.53,8.77E-05,ctrip,3,3
7.95E-09,-0.280225406,0.633,0.386,1.10E-04,Larp4B,3,3
8.84E-09,0.310893302,0.145,0.071,1.22E-04,RunxA,3,3
8.93E-09,-1.180442009,0.671,0.592,1.23E-04,rad,3,3
1.05E-08,-0.258805366,0.547,0.334,1.45E-04,RSG7,3,3
1.30E-08,-0.510053269,0.432,0.259,1.80E-04,CG10543,3,3
1.36E-08,-1.226072768,0.388,0.428,1.88E-04,VAChT,3,3
1.98E-08,-0.315625506,0.425,0.254,2.73E-04,Ssdp,3,3
2.12E-08,-0.2883034,0.231,0.124,2.93E-04,Spt20,3,3
2.74E-08,-0.318469165,0.645,0.39,3.79E-04,pAbp,3,3
2.82E-08,-0.265895562,0.46,0.281,3.90E-04,REPTOR,3,3
3.92E-08,-0.267887732,0.467,0.285,5.41E-04,cno,3,3
3.97E-08,-0.581615761,0.315,0.183,5.49E-04,velo,3,3
4.24E-08,-0.300915939,0.502,0.306,5.86E-04,mahe,3,3
4.80E-08,-0.335890885,0.364,0.216,6.63E-04,tow,3,3
5.10E-08,-0.479502186,0.921,0.767,7.05E-04,Cam,3,3
7.27E-08,-0.255558324,0.292,0.17,0.00100434,arr,3,3
8.48E-08,-0.29314134,0.589,0.361,0.001171778,Pitslre,3,3
8.73E-08,-1.459015135,0.131,0.225,0.001206318,bi,3,3
8.85E-08,-0.290059185,0.36,0.215,0.001223036,e(y)3,3,3
1.15E-07,-0.330303729,0.418,0.254,0.001585897,Dsp1,3,3
1.22E-07,-0.302307661,0.521,0.321,0.001686376,Spred,3,3
1.53E-07,-0.337299792,0.523,0.32,0.002119929,CG8677,3,3
1.55E-07,-0.253970124,0.227,0.127,0.002146474,Rab5,3,3
1.82E-07,-0.352234366,0.259,0.149,0.002519394,CG17233,3,3
1.84E-07,-0.321927249,0.484,0.298,0.002540942,Pde8,3,3
2.08E-07,-0.374704594,0.472,0.288,0.00287288,l(3)L1231,3,3
2.99E-07,-0.259638528,0.332,0.201,0.004132737,Snx27,3,3
3.02E-07,-0.364529626,0.428,0.266,0.004171177,hzg,3,3
3.36E-07,-0.29389577,0.304,0.183,0.004641048,Crtc,3,3
